gene	transcript	canonical	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
RINL	ENST00000591812	TRUE	251	3.12E+02	8.04E-01	1.70E-05	3555	63	9.48E+01	6.65E-01	1106	102	1.38E+02	7.38E-01	8.08E-06	1231	11	1.11E-06	267	2.37E+01	5.20E-05	6.19E-03	9.94E-01	4.64E-01	6.28E-01	8.71E-01	7.24E-01	8.92E-01	2.91E-01	7.68E-01		2.42E+00	1.23E+00	2.42E+00	30790	3	2	20	1.35E-04	2.39E-05	125711	30	0	125741	1.19E-04	1.79E-03	1.55E-04	4.01E-04	0.00E+00	1.16E-04	0.00E+00	8.79E-05	0.00E+00	1.67E-04	6.15E-05	3.76E-04	0.00E+00	1.09E-04	0.00E+00	7.91E-05	0.00E+00	1.63E-04	protein_coding	ENSG00000187994	2	1698	11	protein_coding	10450	3.01E-02	5	1.41E+01	3.56E-01	NA	19	39358470	39368919
NKAIN2	ENST00000368417	TRUE	88	1.19E+02	7.38E-01	6.12E-06	1350	25	4.50E+01	5.56E-01	535	44	4.25E+01	1.03E+00	2.43E-06	386	5	6.66E-07	154	1.37E+01	2.37E-02	1.28E-02	9.64E-01	3.65E-01	8.11E-01	1.33E+00	6.20E-01	8.81E-01	1.90E-01	7.68E-01		-1.76E-01	1.02E+00	2.18E+00	30797	3	2	8	3.60E-05	8.00E-06	125734	9	0	125743	3.58E-05	1.61E-04	0.00E+00	0.00E+00	0.00E+00	1.64E-04	4.62E-05	3.53E-05	0.00E+00	3.28E-05	0.00E+00	0.00E+00	0.00E+00	1.63E-04	4.62E-05	3.52E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000188580	2	624	7	protein_coding	1021518	7.83E-03	5	1.06E+01	4.74E-01	NA	6	124125286	125146803
DHX34	ENST00000328771	TRUE	750	7.44E+02	1.01E+00	5.29E-05	7315	304	3.10E+02	9.80E-01	3033	351	3.18E+02	1.10E+00	2.21E-05	2407	28	2.79E-06	507	5.00E+01	6.56E-13	2.20E-03	9.98E-01	5.60E-01	1.01E+00	1.21E+00	9.49E-01	1.07E+00	4.14E-01	7.68E-01		-1.44E+00	-8.44E-02	2.88E+00	30798	3	2	75	6.54E-04	8.47E-05	125595	153	0	125748	6.09E-04	4.66E-02	7.52E-04	5.73E-04	4.82E-04	5.53E-04	4.21E-04	7.14E-04	8.46E-04	7.38E-04	7.38E-04	5.20E-04	3.97E-04	5.44E-04	4.16E-04	6.42E-04	8.15E-04	7.19E-04	protein_coding	ENSG00000134815	2	3429	16	protein_coding	33424	2.88E-08	18	3.42E+01	5.26E-01	NA	19	47852538	47885961
ITIH4	ENST00000266041	TRUE	478	5.63E+02	8.49E-01	3.37E-05	6042	157	2.08E+02	7.54E-01	2455	223	2.28E+02	9.78E-01	1.40E-05	1871	28	2.47E-06	542	5.00E+01	6.44E-13	2.26E-03	9.98E-01	5.60E-01	8.76E-01	1.09E+00	7.87E-01	9.16E-01	4.14E-01	7.68E-01		2.63E-01	1.27E+00	2.88E+00	30800	3	2	46	3.48E-04	4.88E-05	125667	81	0	125748	3.22E-04	1.30E-02	6.77E-04	3.63E-04	9.96E-05	6.02E-04	0.00E+00	3.11E-04	0.00E+00	6.39E-04	6.77E-04	3.47E-04	9.92E-05	4.35E-04	0.00E+00	3.08E-04	0.00E+00	4.57E-04	protein_coding	ENSG00000055955	2	2790	24	protein_coding	18505	4.63E-05	14	3.63E+01	3.85E-01	NA	3	52846991	52865495
CHRNA7	ENST00000454250	TRUE	190	2.45E+02	7.76E-01	1.39E-05	3347	51	8.82E+01	5.78E-01	1264	98	1.07E+02	9.13E-01	7.01E-06	1010	9	9.48E-07	266	2.04E+01	4.15E-04	7.62E-03	9.92E-01	4.40E-01	7.75E-01	1.08E+00	6.88E-01	8.75E-01	2.64E-01	7.68E-01		7.06E-01	1.25E+00	2.34E+00	30802	3	2	16	2.16E-04	4.06E-05	125703	44	1	125748	1.79E-04	4.03E-03	2.59E-04	4.95E-04	0.00E+00	1.24E-04	0.00E+00	2.27E-04	0.00E+00	1.74E-04	2.46E-04	4.34E-04	0.00E+00	1.09E-04	0.00E+00	1.93E-04	0.00E+00	6.53E-05	protein_coding	ENSG00000175344	2	1593	10	protein_coding	142032	NA	NA	NA	NA	NA	15	32322691	32464722
SYNDIG1	ENST00000376862	TRUE	141	1.59E+02	8.87E-01	1.02E-05	1696	42	5.52E+01	7.61E-01	621	64	7.09E+01	9.02E-01	4.94E-06	514	2	3.55E-07	100	8.20E+00	3.02E-01	1.70E-02	6.80E-01	2.44E-01	7.37E-01	1.11E+00	7.73E-01	1.02E+00	9.90E-02	7.68E-01		6.46E-01	5.07E-01	2.01E+00	30807	3	2	5	3.98E-05	1.59E-05	125737	10	0	125747	3.98E-05	1.99E-04	6.15E-05	2.89E-05	0.00E+00	0.00E+00	0.00E+00	6.16E-05	0.00E+00	3.27E-05	6.15E-05	2.89E-05	0.00E+00	0.00E+00	0.00E+00	6.15E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000101463	2	774	3	protein_coding	197418	4.34E-01	1	5.12E+00	1.95E-01	NA	20	24449835	24647252
YIPF4	ENST00000238831	TRUE	105	1.15E+02	9.12E-01	4.99E-06	1527	22	3.35E+01	6.56E-01	446	42	4.34E+01	9.67E-01	1.99E-06	494	4	5.79E-07	163	1.19E+01	6.08E-02	1.47E-02	9.24E-01	3.36E-01	7.54E-01	1.25E+00	7.78E-01	1.07E+00	1.64E-01	7.68E-01		1.71E-01	3.36E-01	2.12E+00	30814	3	2	6	3.00E-05	8.43E-06	125737	7	0	125744	2.78E-05	9.74E-05	0.00E+00	0.00E+00	0.00E+00	1.09E-04	0.00E+00	1.80E-05	1.73E-04	7.33E-05	0.00E+00	0.00E+00	0.00E+00	1.09E-04	0.00E+00	1.76E-05	1.63E-04	6.53E-05	protein_coding	ENSG00000119820	2	732	6	protein_coding	38685	1.98E-02	4	8.70E+00	4.60E-01	NA	2	32502979	32541663
NRDE2	ENST00000354366	TRUE	631	6.43E+02	9.81E-01	3.47E-05	7686	128	1.54E+02	8.29E-01	1943	253	2.53E+02	1.00E+00	1.47E-05	2182	33	3.14E-06	645	5.75E+01	2.80E-15	1.89E-03	9.98E-01	5.74E-01	9.01E-01	1.11E+00	9.19E-01	1.05E+00	4.34E-01	7.68E-01		3.54E-03	1.68E-01	2.99E+00	30819	3	2	66	1.15E-03	5.97E-04	125459	289	0	125748	1.15E-03	1.66E-01	3.08E-04	7.00E-04	3.99E-04	7.07E-04	6.61E-03	6.09E-04	6.53E-04	8.88E-04	3.08E-04	6.94E-04	3.97E-04	7.07E-04	6.63E-03	6.07E-04	6.52E-04	8.82E-04	protein_coding	ENSG00000119720	2	3492	14	protein_coding	55902	6.49E-10	21	3.73E+01	5.63E-01	NA	14	90742580	90798481
RHCE	ENST00000294413	TRUE	211	2.28E+02	9.25E-01	1.31E-05	2667	39	6.08E+01	6.41E-01	835	95	9.69E+01	9.81E-01	6.31E-06	876	8	9.75E-07	208	1.88E+01	1.16E-03	8.56E-03	9.90E-01	4.26E-01	8.30E-01	1.16E+00	8.26E-01	1.04E+00	2.49E-01	7.68E-01		1.49E-01	4.03E-01	2.31E+00	30820	3	2	9	5.99E-05	1.62E-05	125733	15	0	125748	5.96E-05	4.47E-04	0.00E+00	1.16E-04	0.00E+00	1.09E-04	4.62E-05	6.19E-05	1.63E-04	0.00E+00	0.00E+00	1.16E-04	0.00E+00	1.09E-04	4.62E-05	6.15E-05	1.63E-04	0.00E+00	protein_coding	ENSG00000188672	2	1251	10	protein_coding	67944	8.61E-01	2	1.50E+01	1.34E-01	NA	1	25688740	25756683
PLA2G4E	ENST00000399518	TRUE	412	4.83E+02	8.54E-01	2.69E-05	5646	138	1.85E+02	7.47E-01	2204	207	1.98E+02	1.04E+00	1.16E-05	1651	28	2.87E-06	513	4.99E+01	6.32E-13	2.32E-03	9.98E-01	5.61E-01	9.31E-01	1.17E+00	7.87E-01	9.26E-01	4.15E-01	7.69E-01		-4.89E-01	1.14E+00	2.87E+00	30827	3	2	40	5.12E-04	5.27E-05	124944	116	0	125060	4.64E-04	2.69E-02	3.96E-04	9.62E-04	1.99E-04	5.87E-04	1.86E-04	4.99E-04	1.82E-03	1.71E-04	3.83E-04	8.68E-04	1.99E-04	4.94E-04	1.85E-04	4.33E-04	1.81E-03	1.63E-04	protein_coding	ENSG00000188089	2	2604	20	protein_coding	69609	2.28E-06	14	2.83E+01	4.95E-01	NA	15	42273780	42343388
PIGS	ENST00000308360	TRUE	285	3.25E+02	8.78E-01	1.78E-05	3564	65	9.18E+01	7.08E-01	1036	133	1.36E+02	9.81E-01	7.62E-06	1172	12	1.16E-06	303	2.53E+01	1.81E-05	5.70E-03	9.94E-01	4.75E-01	8.51E-01	1.13E+00	7.96E-01	9.69E-01	3.03E-01	7.69E-01		1.72E-01	7.80E-01	2.45E+00	30830	3	2	30	2.24E-04	2.00E-05	125693	55	0	125748	2.19E-04	6.02E-03	2.53E-04	1.45E-04	4.97E-04	2.75E-04	1.39E-04	2.83E-04	0.00E+00	6.53E-05	2.46E-04	1.16E-04	4.96E-04	2.72E-04	1.39E-04	2.81E-04	0.00E+00	6.53E-05	protein_coding	ENSG00000087111	2	1665	12	protein_coding	18490	8.00E-02	5	1.68E+01	2.98E-01	NA	17	26880401	26898890
C5orf22	ENST00000325366	TRUE	222	2.30E+02	9.64E-01	1.10E-05	2902	50	6.98E+01	7.17E-01	880	79	8.32E+01	9.50E-01	4.12E-06	827	10	9.99E-07	278	2.21E+01	1.46E-04	6.93E-03	9.93E-01	4.53E-01	7.91E-01	1.15E+00	8.63E-01	1.08E+00	2.79E-01	7.69E-01		3.60E-01	1.94E-01	2.38E+00	30838	3	2	28	1.38E-04	1.35E-05	125713	34	0	125747	1.35E-04	2.30E-03	6.15E-05	1.74E-04	0.00E+00	2.72E-04	0.00E+00	9.90E-05	3.58E-04	2.96E-04	6.15E-05	1.73E-04	0.00E+00	2.72E-04	0.00E+00	9.67E-05	3.26E-04	2.94E-04	protein_coding	ENSG00000082213	2	1326	9	protein_coding	22793	1.70E-01	4	1.47E+01	2.73E-01	NA	5	31532373	31555165
DDHD2	ENST00000397166	TRUE	317	3.75E+02	8.45E-01	1.86E-05	4677	107	1.52E+02	7.06E-01	1871	128	1.34E+02	9.54E-01	6.76E-06	1326	23	2.36E-06	490	4.24E+01	1.43E-10	2.83E-03	9.97E-01	5.43E-01	8.26E-01	1.11E+00	7.70E-01	9.28E-01	3.90E-01	7.69E-01		4.19E-01	1.07E+00	2.76E+00	30839	3	2	33	2.91E-04	7.27E-05	125680	67	1	125748	2.70E-04	9.20E-03	6.76E-04	2.94E-04	2.26E-04	2.73E-04	9.26E-05	2.15E-04	5.37E-04	4.78E-04	6.15E-04	2.89E-04	1.98E-04	2.72E-04	9.24E-05	2.11E-04	4.89E-04	3.92E-04	protein_coding	ENSG00000085788	2	2133	16	protein_coding	50341	3.10E-08	17	3.01E+01	5.66E-01	NA	8	38082736	38133076
CLK1	ENST00000434813	TRUE	276	2.99E+02	9.24E-01	1.55E-05	3531	56	8.39E+01	6.68E-01	1097	106	9.58E+01	1.11E+00	4.96E-06	893	15	1.59E-06	370	3.00E+01	7.60E-07	4.51E-03	9.95E-01	5.00E-01	9.44E-01	1.30E+00	8.36E-01	1.02E+00	3.33E-01	7.69E-01		-8.18E-01	4.68E-01	2.54E+00	30853	3	2	25	3.03E-04	1.52E-04	125689	59	0	125748	2.35E-04	6.92E-03	1.23E-04	4.64E-04	0.00E+00	1.63E-04	4.62E-05	4.48E-04	0.00E+00	1.76E-04	1.23E-04	3.47E-04	0.00E+00	1.09E-04	4.62E-05	3.25E-04	0.00E+00	1.63E-04	protein_coding	ENSG00000013441	2	1578	13	protein_coding	11691	9.53E-02	6	2.17E+01	2.76E-01	NA	2	201717732	201729422
SFXN5	ENST00000272433	TRUE	168	2.04E+02	8.24E-01	1.21E-05	2159	57	8.25E+01	6.91E-01	821	102	8.74E+01	1.17E+00	5.40E-06	701	10	1.20E-06	234	2.21E+01	1.47E-04	6.86E-03	9.93E-01	4.53E-01	9.93E-01	1.38E+00	7.26E-01	9.37E-01	2.79E-01	7.69E-01		-1.23E+00	8.92E-01	2.38E+00	30857	3	2	19	2.04E-04	1.00E-04	125699	48	1	125748	1.95E-04	4.77E-03	1.86E-04	2.03E-04	9.96E-05	1.09E-04	4.70E-05	2.48E-04	1.64E-04	2.62E-04	1.85E-04	2.02E-04	9.92E-05	1.09E-04	4.62E-05	2.37E-04	1.63E-04	2.29E-04	protein_coding	ENSG00000144040	2	1020	14	protein_coding	133583	1.40E-02	6	1.64E+01	3.66E-01	NA	2	73169165	73302747
PAGE4	ENST00000218068	TRUE	35	3.64E+01	9.61E-01	2.93E-06	644	11	7.98E+00	1.38E+00	176	10	1.14E+01	8.79E-01	8.82E-07	187	0	3.19E-07	71	3.88E+00	6.94E-01	1.58E-02	2.90E-01	0.00E+00	5.41E-01	1.48E+00	7.33E-01	1.27E+00	0.00E+00	7.69E-01		3.21E-01	8.36E-02	1.83E+00	30859	3	2	0	0.00E+00	0.00E+00	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000101951	2	306	4	protein_coding	4714	6.48E-01	0	3.11E+00	0.00E+00	NA	X	49593863	49598576
RBM4B	ENST00000525754	TRUE	195	2.23E+02	8.74E-01	1.47E-05	2323	23	4.17E+01	5.51E-01	494	100	8.43E+01	1.19E+00	5.39E-06	740	5	9.04E-07	158	1.37E+01	2.36E-02	1.28E-02	9.64E-01	3.66E-01	1.01E+00	1.40E+00	7.76E-01	9.84E-01	1.90E-01	7.69E-01		-1.34E+00	6.71E-01	2.17E+00	30862	3	2	13	7.97E-05	2.39E-05	125728	20	0	125748	7.95E-05	7.95E-04	1.23E-04	1.16E-04	9.92E-05	5.44E-05	0.00E+00	7.94E-05	1.63E-04	6.53E-05	1.23E-04	1.16E-04	9.92E-05	5.44E-05	0.00E+00	7.91E-05	1.63E-04	6.53E-05	protein_coding	ENSG00000173914	2	1077	2	protein_coding	12924	4.42E-01	2	9.50E+00	2.10E-01	NA	11	66432469	66445392
CLCN2	ENST00000265593	TRUE	494	5.37E+02	9.21E-01	3.64E-05	5763	179	2.16E+02	8.30E-01	2322	229	2.11E+02	1.09E+00	1.34E-05	1906	26	2.65E-06	513	4.69E+01	5.55E-12	2.50E-03	9.98E-01	5.54E-01	9.73E-01	1.21E+00	8.54E-01	9.92E-01	4.05E-01	7.69E-01		-9.71E-01	6.54E-01	2.83E+00	30863	3	2	49	3.88E-04	1.15E-04	125653	95	0	125748	3.78E-04	1.79E-02	9.33E-04	2.03E-04	0.00E+00	1.11E-04	9.24E-05	5.14E-04	4.90E-04	3.27E-04	9.23E-04	2.02E-04	0.00E+00	1.09E-04	4.62E-05	5.01E-04	4.89E-04	3.27E-04	protein_coding	ENSG00000114859	2	2694	24	protein_coding	15467	2.27E-07	17	3.53E+01	4.81E-01	NA	3	184063973	184079439
ZFPL1	ENST00000294258	TRUE	189	2.04E+02	9.29E-01	1.34E-05	1982	58	6.48E+01	8.95E-01	662	86	8.64E+01	9.96E-01	5.46E-06	685	6	9.27E-07	149	1.54E+01	8.76E-03	1.12E-02	9.80E-01	3.90E-01	8.36E-01	1.19E+00	8.24E-01	1.05E+00	2.12E-01	7.69E-01		2.97E-02	3.62E-01	2.22E+00	30865	3	2	10	3.98E-05	4.00E-06	125738	9	0	125747	3.58E-05	1.61E-04	1.85E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.53E-05	0.00E+00	9.80E-05	1.23E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.52E-05	0.00E+00	9.80E-05	protein_coding	ENSG00000162300	2	930	7	protein_coding	4176	6.55E-01	2	1.18E+01	1.69E-01	NA	11	64851695	64855870
TMEM150A	ENST00000409668	TRUE	113	1.64E+02	6.88E-01	9.08E-06	1757	38	6.69E+01	5.68E-01	723	61	7.16E+01	8.51E-01	4.56E-06	574	5	6.67E-07	140	1.37E+01	2.36E-02	1.28E-02	9.64E-01	3.66E-01	6.92E-01	1.05E+00	5.89E-01	8.04E-01	1.90E-01	7.69E-01		9.88E-01	1.42E+00	2.17E+00	30868	3	2	8	3.99E-05	7.97E-06	125719	10	0	125729	3.98E-05	1.99E-04	0.00E+00	2.89E-05	0.00E+00	0.00E+00	0.00E+00	6.19E-05	0.00E+00	6.53E-05	0.00E+00	2.89E-05	0.00E+00	0.00E+00	0.00E+00	6.15E-05	0.00E+00	6.53E-05	protein_coding	ENSG00000168890	2	813	7	protein_coding	4649	1.46E-01	3	9.83E+00	3.05E-01	NA	2	85825671	85830319
DYNC1I2	ENST00000397119	TRUE	195	3.18E+02	6.13E-01	1.61E-05	4170	33	7.26E+01	4.55E-01	889	93	1.07E+02	8.73E-01	5.44E-06	1179	19	1.92E-06	453	3.63E+01	1.06E-08	3.47E-03	9.97E-01	5.24E-01	7.37E-01	1.04E+00	5.45E-01	6.90E-01	3.65E-01	7.69E-01		1.03E+00	2.45E+00	2.66E+00	30870	3	2	33	2.66E-04	4.00E-05	124885	57	0	124942	2.28E-04	6.50E-03	1.94E-04	3.52E-04	1.11E-03	1.67E-04	3.36E-04	2.51E-04	0.00E+00	1.39E-04	1.93E-04	1.74E-04	9.94E-04	1.64E-04	3.24E-04	2.12E-04	0.00E+00	1.31E-04	protein_coding	ENSG00000077380	2	1914	17	protein_coding	61012	5.19E-07	14	2.44E+01	5.73E-01	NA	2	172543919	172604930
SUSD4	ENST00000343846	TRUE	258	2.92E+02	8.85E-01	1.68E-05	3185	89	1.17E+02	7.58E-01	1268	122	1.27E+02	9.63E-01	8.61E-06	965	10	1.02E-06	259	2.20E+01	1.45E-04	7.03E-03	9.93E-01	4.54E-01	8.30E-01	1.12E+00	7.98E-01	9.81E-01	2.79E-01	7.70E-01		3.29E-01	6.99E-01	2.37E+00	30882	3	2	20	1.14E-04	1.59E-05	125721	27	0	125748	1.07E-04	1.45E-03	0.00E+00	9.08E-05	0.00E+00	2.20E-04	0.00E+00	1.15E-04	3.46E-04	1.99E-04	0.00E+00	8.67E-05	0.00E+00	2.17E-04	0.00E+00	1.05E-04	3.26E-04	1.96E-04	protein_coding	ENSG00000143502	2	1470	8	protein_coding	143384	4.57E-03	6	1.34E+01	4.47E-01	NA	1	223394161	223537544
CRTAC1	ENST00000370597	TRUE	374	4.44E+02	8.42E-01	2.96E-05	4286	109	1.51E+02	7.24E-01	1379	178	1.85E+02	9.61E-01	1.32E-05	1340	15	1.59E-06	332	3.00E+01	7.49E-07	4.59E-03	9.95E-01	5.00E-01	8.49E-01	1.09E+00	7.73E-01	9.17E-01	3.34E-01	7.70E-01		4.20E-01	1.18E+00	2.54E+00	30901	3	2	25	1.58E-04	2.03E-05	125710	38	0	125748	1.51E-04	2.87E-03	3.09E-04	2.07E-04	1.99E-04	1.09E-04	4.84E-05	1.15E-04	0.00E+00	3.12E-04	3.08E-04	1.73E-04	1.98E-04	1.09E-04	4.62E-05	1.14E-04	0.00E+00	2.94E-04	protein_coding	ENSG00000095713	2	1983	15	protein_coding	165829	1.41E-04	10	2.17E+01	4.61E-01	NA	10	99624757	99790585
RPAP2	ENST00000610020	TRUE	264	3.00E+02	8.81E-01	1.42E-05	4023	63	7.89E+01	7.98E-01	1079	98	1.07E+02	9.16E-01	5.20E-06	1113	16	1.46E-06	431	3.15E+01	2.58E-07	4.31E-03	9.96E-01	5.07E-01	7.77E-01	1.08E+00	7.95E-01	9.75E-01	3.42E-01	7.70E-01		6.80E-01	7.35E-01	2.56E+00	30907	3	2	25	3.00E-04	6.38E-05	125671	71	0	125742	2.82E-04	1.00E-02	5.59E-04	6.69E-04	0.00E+00	4.05E-04	0.00E+00	2.18E-04	9.60E-04	2.30E-04	5.54E-04	6.07E-04	0.00E+00	3.81E-04	0.00E+00	1.93E-04	8.15E-04	2.29E-04	protein_coding	ENSG00000122484	2	1836	12	protein_coding	103092	2.09E-03	8	2.01E+01	3.99E-01	NA	1	92764522	92867613
YIPF1	ENST00000072644	TRUE	173	1.68E+02	1.03E+00	8.56E-06	1988	56	6.90E+01	8.12E-01	807	46	6.04E+01	7.62E-01	3.17E-06	602	7	8.93E-07	196	1.71E+01	3.18E-03	9.92E-03	9.87E-01	4.10E-01	6.01E-01	9.74E-01	9.10E-01	1.17E+00	2.32E-01	7.70E-01		1.45E+00	-1.44E-01	2.26E+00	30908	3	2	19	3.30E-03	3.16E-03	124927	812	8	125747	3.27E-03	1.34E+00	4.36E-04	6.98E-04	1.50E-02	1.64E-04	6.79E-03	3.15E-03	3.27E-03	3.91E-03	4.31E-04	6.94E-04	1.50E-02	1.63E-04	6.67E-03	3.13E-03	3.26E-03	3.80E-03	protein_coding	ENSG00000058799	2	918	8	protein_coding	39016	1.74E-02	5	1.26E+01	3.97E-01	NA	1	54317392	54356407
TMEM30A	ENST00000230461	TRUE	165	2.08E+02	7.94E-01	1.08E-05	2382	43	8.07E+01	5.33E-01	961	70	7.29E+01	9.60E-01	3.68E-06	697	7	1.03E-06	199	1.71E+01	3.19E-03	9.84E-03	9.87E-01	4.10E-01	7.91E-01	1.17E+00	6.98E-01	9.03E-01	2.32E-01	7.70E-01		2.69E-01	1.06E+00	2.26E+00	30909	3	2	15	7.28E-05	8.49E-06	125730	18	0	125748	7.16E-05	6.44E-04	1.85E-04	2.89E-05	1.00E-04	0.00E+00	4.62E-05	8.06E-05	0.00E+00	9.81E-05	1.85E-04	2.89E-05	9.92E-05	0.00E+00	4.62E-05	7.91E-05	0.00E+00	9.80E-05	protein_coding	ENSG00000112697	2	1083	7	protein_coding	32045	4.07E-02	5	1.49E+01	3.36E-01	NA	6	75962640	75994684
EFR3A	ENST00000254624	TRUE	376	4.22E+02	8.91E-01	2.21E-05	5366	84	1.21E+02	6.93E-01	1510	142	1.39E+02	1.02E+00	7.13E-06	1535	24	2.55E-06	537	4.39E+01	4.81E-11	2.75E-03	9.97E-01	5.47E-01	8.88E-01	1.17E+00	8.18E-01	9.70E-01	3.95E-01	7.70E-01		-1.69E-01	7.96E-01	2.78E+00	30911	3	2	40	2.27E-04	1.65E-05	125541	52	0	125593	2.07E-04	5.38E-03	4.94E-04	1.78E-04	0.00E+00	1.93E-04	1.86E-04	2.54E-04	3.33E-04	1.36E-04	4.92E-04	1.73E-04	0.00E+00	1.63E-04	1.85E-04	2.20E-04	3.26E-04	1.31E-04	protein_coding	ENSG00000132294	2	2463	23	protein_coding	109555	9.27E-03	10	3.29E+01	3.04E-01	NA	8	132916335	133025889
VAMP4	ENST00000236192	TRUE	57	7.34E+01	7.77E-01	3.67E-06	936	9	1.50E+01	6.01E-01	237	14	2.26E+01	6.19E-01	1.05E-06	239	3	4.91E-07	124	1.01E+01	1.44E-01	1.67E-02	8.39E-01	2.98E-01	4.08E-01	9.68E-01	6.27E-01	9.68E-01	1.35E-01	7.70E-01		1.42E+00	6.80E-01	2.06E+00	30917	3	2	3	1.60E-05	7.96E-06	125741	4	0	125745	1.59E-05	3.18E-05	6.15E-05	2.90E-05	0.00E+00	0.00E+00	0.00E+00	8.81E-06	0.00E+00	3.39E-05	6.15E-05	2.89E-05	0.00E+00	0.00E+00	0.00E+00	8.79E-06	0.00E+00	3.27E-05	protein_coding	ENSG00000117533	2	423	7	protein_coding	42088	9.20E-01	0	7.82E+00	0.00E+00	NA	1	171669300	171711387
LGI3	ENST00000306317	TRUE	308	3.33E+02	9.24E-01	2.09E-05	3515	91	1.13E+02	8.09E-01	1248	149	1.46E+02	1.02E+00	9.00E-06	1140	12	1.33E-06	252	2.52E+01	1.78E-05	5.85E-03	9.94E-01	4.75E-01	8.95E-01	1.17E+00	8.41E-01	1.02E+00	3.04E-01	7.70E-01		-2.23E-01	4.91E-01	2.44E+00	30918	3	2	18	9.85E-05	1.19E-05	125723	24	0	125747	9.54E-05	1.15E-03	2.46E-04	2.89E-05	0.00E+00	5.48E-05	0.00E+00	1.21E-04	1.73E-04	1.31E-04	2.46E-04	2.89E-05	0.00E+00	5.44E-05	0.00E+00	1.14E-04	1.63E-04	1.31E-04	protein_coding	ENSG00000168481	2	1644	8	protein_coding	10260	1.95E-05	10	1.67E+01	6.00E-01	NA	8	22004338	22014597
DEDD2	ENST00000595337	TRUE	161	2.16E+02	7.44E-01	1.47E-05	1988	33	5.02E+01	6.58E-01	489	87	9.06E+01	9.60E-01	4.83E-06	760	4	6.52E-07	121	1.19E+01	5.99E-02	1.51E-02	9.25E-01	3.37E-01	8.06E-01	1.15E+00	6.54E-01	8.48E-01	1.65E-01	7.71E-01		2.98E-01	1.34E+00	2.12E+00	30926	3	2	6	2.53E-05	4.52E-06	125739	6	0	125745	2.39E-05	7.16E-05	0.00E+00	0.00E+00	0.00E+00	5.44E-05	0.00E+00	4.77E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.44E-05	0.00E+00	4.40E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000160570	2	978	4	protein_coding	21543	2.85E-01	2	7.71E+00	2.59E-01	NA	19	42702750	42724292
SLC5A1	ENST00000266088	TRUE	274	3.74E+02	7.33E-01	2.26E-05	4322	62	1.31E+02	4.75E-01	1524	151	1.45E+02	1.04E+00	9.60E-06	1328	17	1.71E-06	387	3.31E+01	8.75E-08	4.11E-03	9.96E-01	5.14E-01	9.11E-01	1.19E+00	6.63E-01	8.10E-01	3.51E-01	7.71E-01		-3.85E-01	1.83E+00	2.59E+00	30933	3	2	29	1.71E-04	1.59E-05	125705	43	0	125748	1.71E-04	3.68E-03	1.23E-04	1.74E-04	9.92E-05	1.09E-04	0.00E+00	2.29E-04	1.63E-04	1.63E-04	1.23E-04	1.73E-04	9.92E-05	1.09E-04	0.00E+00	2.29E-04	1.63E-04	1.63E-04	protein_coding	ENSG00000100170	2	1992	15	protein_coding	69998	8.03E-03	8	2.37E+01	3.38E-01	NA	22	32439019	32509016
